# curie_map:
#   NCIT: http://purl.obolibrary.org/obo/NCIT_
#   mesh: https://meshb.nlm.nih.gov/record/ui?ui=
#   oboinowl: http://www.geneontology.org/formats/oboInOwl#
#   owl: http://www.w3.org/2002/07/owl#
#   rdf: http://www.w3.org/1999/02/22-rdf-syntax-ns#
#   rdfs: http://www.w3.org/2000/01/rdf-schema#
#   semapv: https://w3id.org/semapv/vocab/
#   skos: http://www.w3.org/2004/02/skos/core#
#   sssom: https://w3id.org/sssom/
# license: https://w3id.org/sssom/license/unspecified
# mapping_set_id: https://w3id.org/sssom/mappings/fa692b60-196a-4898-8e56-5567fd271b7f
subject_id	object_id	predicate_id	mapping_justification	match_string	mapping_tool	mapping_date
NCIT:C84850	mesh:D015064	oboinowl:hasDbXref	semapv:MappingChaining	umls:C0000139	umls_ingest	2023-11-29
NCIT:C29791	mesh:D015073	oboinowl:hasDbXref	semapv:MappingChaining	umls:C0000248	umls_ingest	2023-11-29
NCIT:C118881	mesh:D015074	oboinowl:hasDbXref	semapv:MappingChaining	umls:C0000257	umls_ingest	2023-11-29
NCIT:C317	mesh:D001971	oboinowl:hasDbXref	semapv:MappingChaining	umls:C0000266	umls_ingest	2023-11-29
NCIT:C192	mesh:D015080	oboinowl:hasDbXref	semapv:MappingChaining	umls:C0000294	umls_ingest	2023-11-29
NCIT:C44311	mesh:D015081	oboinowl:hasDbXref	semapv:MappingChaining	umls:C0000300	umls_ingest	2023-11-29
NCIT:C29795	mesh:D008748	oboinowl:hasDbXref	semapv:MappingChaining	umls:C0000325	umls_ingest	2023-11-29
NCIT:C126931	mesh:D015650	oboinowl:hasDbXref	semapv:MappingChaining	umls:C0000334	umls_ingest	2023-11-29
NCIT:C44314	mesh:D015101	oboinowl:hasDbXref	semapv:MappingChaining	umls:C0000370	umls_ingest	2023-11-29
NCIT:C73266	mesh:D015103	oboinowl:hasDbXref	semapv:MappingChaining	umls:C0000378	umls_ingest	2023-11-29
NCIT:C80152	mesh:D015104	oboinowl:hasDbXref	semapv:MappingChaining	umls:C0000379	umls_ingest	2023-11-29
NCIT:C193	mesh:D015092	oboinowl:hasDbXref	semapv:MappingChaining	umls:C0000399	umls_ingest	2023-11-29
NCIT:C174659	mesh:D015093	oboinowl:hasDbXref	semapv:MappingChaining	umls:C0000402	umls_ingest	2023-11-29
NCIT:C61634	mesh:D010129	oboinowl:hasDbXref	semapv:MappingChaining	umls:C0000473	umls_ingest	2023-11-29
NCIT:C76777	mesh:D015761	oboinowl:hasDbXref	semapv:MappingChaining	umls:C0000477	umls_ingest	2023-11-29
NCIT:C61773	mesh:D012978	oboinowl:hasDbXref	semapv:MappingChaining	umls:C0000503	umls_ingest	2023-11-29
NCIT:C194	mesh:D015112	oboinowl:hasDbXref	semapv:MappingChaining	umls:C0000511	umls_ingest	2023-11-29
NCIT:C19637	mesh:D015720	oboinowl:hasDbXref	semapv:MappingChaining	umls:C0000530	umls_ingest	2023-11-29
NCIT:C67080	mesh:D015118	oboinowl:hasDbXref	semapv:MappingChaining	umls:C0000545	umls_ingest	2023-11-29
NCIT:C68434	mesh:D015118	oboinowl:hasDbXref	semapv:MappingChaining	umls:C0000545	umls_ingest	2023-11-29
NCIT:C52181	mesh:D006916	oboinowl:hasDbXref	semapv:MappingChaining	umls:C0000578	umls_ingest	2023-11-29
NCIT:C47756	mesh:D013988	oboinowl:hasDbXref	semapv:MappingChaining	umls:C0000598	umls_ingest	2023-11-29
NCIT:C47391	mesh:D015119	oboinowl:hasDbXref	semapv:MappingChaining	umls:C0000608	umls_ingest	2023-11-29
NCIT:C38127	mesh:D015120	oboinowl:hasDbXref	semapv:MappingChaining	umls:C0000610	umls_ingest	2023-11-29
NCIT:C152068	mesh:D015121	oboinowl:hasDbXref	semapv:MappingChaining	umls:C0000617	umls_ingest	2023-11-29
NCIT:C195	mesh:D015122	oboinowl:hasDbXref	semapv:MappingChaining	umls:C0000618	umls_ingest	2023-11-29
NCIT:C196	mesh:D015123	oboinowl:hasDbXref	semapv:MappingChaining	umls:C0000641	umls_ingest	2023-11-29
NCIT:C95950	mesh:C115990	oboinowl:hasDbXref	semapv:MappingChaining	umls:C0000657	umls_ingest	2023-11-29
NCIT:C68343	mesh:D015126	oboinowl:hasDbXref	semapv:MappingChaining	umls:C0000658	umls_ingest	2023-11-29
NCIT:C80862	mesh:D015125	oboinowl:hasDbXref	semapv:MappingChaining	umls:C0000665	umls_ingest	2023-11-29
NCIT:C197	mesh:D015127	oboinowl:hasDbXref	semapv:MappingChaining	umls:C0000677	umls_ingest	2023-11-29
NCIT:C83573	mesh:D000001	oboinowl:hasDbXref	semapv:MappingChaining	umls:C0000699	umls_ingest	2023-11-29
NCIT:C13186	mesh:D044704	oboinowl:hasDbXref	semapv:MappingChaining	umls:C0000702	umls_ingest	2023-11-29
NCIT:C80606	mesh:D000002	oboinowl:hasDbXref	semapv:MappingChaining	umls:C0000714	umls_ingest	2023-11-29
NCIT:C98228	mesh:D002441	oboinowl:hasDbXref	semapv:MappingChaining	umls:C0000719	umls_ingest	2023-11-29
